"";"codeGeo";"libgeo_cp"
"1";"75014";"PARIS 14"
"2";"75004";"PARIS 04"
"3";"75010";"PARIS 10"
"4";"94350";"VILLIERS SUR MARNE"
"5";"75011";"PARIS 11"
"6";"69003";"LYON 03"
"7";"75015";"PARIS 15"
"8";"91290";"ARPAJON"
"9";"77310";"ST FARGEAU PONTHIERRY"
"10";"94800";"VILLEJUIF"
"11";"75013";"PARIS 13"
"12";"92700";"COLOMBES"
"13";"45210";"FERRIERES EN GATINAIS"
"14";"91310";"MONTLHERY"
"15";"27780";"GARENNES SUR EURE"
"16";"77250";"ORVANNE"
"17";"75012";"PARIS 12"
"18";"77000";"MELUN"
"19";"92170";"VANVES"
"20";"92270";"BOIS COLOMBES"
"21";"9A070";NA
"22";"75006";"PARIS 06"
"23";"77400";"LAGNY SUR MARNE"
"24";"94200";"IVRY SUR SEINE"
"25";"78500";"SARTROUVILLE"
"26";"94490";"ORMESSON SUR MARNE"
"27";"58320";"POUGUES LES EAUX"
"28";"75019";"PARIS 19"
"29";"92220";"BAGNEUX"
"30";"92120";"MONTROUGE"
"31";"78110";"LE VESINET"
"32";"89120";"CHARNY OREE DE PUISAYE"
"33";"77370";"NANGIS"
"34";"75003";"PARIS 03"
"35";"77200";"TORCY"
"36";"78150";"LE CHESNAY"
"37";"93000";"BOBIGNY"
"38";"95370";"MONTIGNY LES CORMEILLES"
"39";"94370";"SUCY EN BRIE"
"40";"93800";"EPINAY SUR SEINE"
"41";"92140";"CLAMART"
"42";"75016";"PARIS 16"
"43";"75018";"PARIS 18"
"44";"91100";"CORBEIL ESSONNES"
"45";"92230";"GENNEVILLIERS"
"46";"92000";"NANTERRE"
"47";"92110";"CLICHY"
"48";"92240";"MALAKOFF"
"49";"10800";"ST JULIEN LES VILLAS"
"50";"75009";"PARIS 09"
"51";"78600";"MAISONS LAFFITTE"
"52";"93140";"BONDY"
"53";"92130";"ISSY LES MOULINEAUX"
"54";"95200";"SARCELLES"
"55";"99127";NA
"56";"77100";"MEAUX"
"57";"77700";"SERRIS"
"58";"94260";"FRESNES"
"59";"95250";"BEAUCHAMP"
"60";"94140";"ALFORTVILLE"
"61";"93170";"BAGNOLET"
"62";"94400";"VITRY SUR SEINE"
"63";"75017";"PARIS 17"
"64";"91220";"BRETIGNY SUR ORGE"
"65";"10150";"PONT STE MARIE"
"66";"94700";"MAISONS ALFORT"
"67";"91130";"RIS ORANGIS"
"68";"77350";"LE MEE SUR SEINE"
"69";"95570";"BOUFFEMONT"
"70";"94110";"ARCUEIL"
"71";"58000";"NEVERS"
"72";"95240";"CORMEILLES EN PARISIS"
"73";"95100";"ARGENTEUIL"
"74";"93500";"PANTIN"
"75";"92400";"COURBEVOIE"
"76";"95600";"EAUBONNE"
"77";"75005";"PARIS 05"
"78";"75001";"PARIS 01"
"79";"94250";"GENTILLY"
"80";"93160";"NOISY LE GRAND"
"81";"10000";"TROYES"
"82";"75020";"PARIS 20"
"83";"78120";"RAMBOUILLET"
"84";"94410";"ST MAURICE"
"85";"91940";"LES ULIS"
"86";"93250";"VILLEMOMBLE"
"87";"92290";"CHATENAY MALABRY"
"88";"91350";"GRIGNY"
"89";"45160";"OLIVET"
"90";"78140";"VELIZY VILLACOUBLAY"
"91";"78470";"ST REMY LES CHEVREUSE"
"92";"36000";"CHATEAUROUX"
"93";"63310";"RANDAN"
"94";"13008";"MARSEILLE 08"
"95";"93130";"NOISY LE SEC"
"96";"78180";"MONTIGNY LE BRETONNEUX"
"97";"92380";"GARCHES"
"98";"77450";"ESBLY"
"99";"92600";"ASNIERES SUR SEINE"
"100";"78000";"VERSAILLES"
"101";"42300";"ROANNE"
"102";"92100";"BOULOGNE BILLANCOURT"
"103";"92390";"VILLENEUVE LA GARENNE"
"104";"94430";"CHENNEVIERES SUR MARNE"
"105";"78800";"HOUILLES"
"106";"93190";"LIVRY GARGAN"
"107";"75002";"PARIS 02"
"108";"93100";"MONTREUIL"
"109";"93200";"ST DENIS"
"110";"91000";"EVRY"
"111";"95610";"ERAGNY"
"112";"94170";"LE PERREUX SUR MARNE"
"113";"75008";"PARIS 08"
"114";"60570";"ANDEVILLE"
"115";"78530";"BUC"
"116";"28630";"LE COUDRAY"
"117";"77410";"CLAYE SOUILLY"
"118";"92200";"NEUILLY SUR SEINE"
"119";"91760";"ITTEVILLE"
"120";"94320";"THIAIS"
"121";"94600";"CHOISY LE ROI"
"122";"92190";"MEUDON"
"123";"91390";"MORSANG SUR ORGE"
"124";"91800";"BRUNOY"
"125";"95330";"DOMONT"
"126";"93390";"CLICHY SOUS BOIS"
"127";"91400";"ORSAY"
"128";"78520";"LIMAY"
"129";"27200";"VERNON"
"130";"94000";"CRETEIL"
"131";"28210";"NOGENT LE ROI"
"132";"60100";"CREIL"
"133";"75007";"PARIS 07"
"134";"91700";"STE GENEVIEVE DES BOIS"
"135";"92160";"ANTONY"
"136";"92410";"VILLE D AVRAY"
"137";"45000";"ORLEANS"
"138";"93220";"GAGNY"
"139";"78280";"GUYANCOURT"
"140";"78100";"ST GERMAIN EN LAYE"
"141";"95190";"GOUSSAINVILLE"
"142";"95310";"ST OUEN L AUMONE"
"143";"60175";"VILLENEUVE LES SABLONS"
"144";"95800";"COURDIMANCHE"
"145";"91210";"DRAVEIL"
"146";"78400";"CHATOU"
"147";"78740";"VAUX SUR SEINE"
"148";"92500";"RUEIL MALMAISON"
"149";"93150";"LE BLANC MESNIL"
"150";"27940";"AUBEVOYE"
"151";"94190";"VILLENEUVE ST GEORGES"
"152";"28130";"MAINTENON"
"153";"94220";"CHARENTON LE PONT"
"154";"78190";"TRAPPES"
"155";"92150";"SURESNES"
"156";"93400";"ST OUEN"
"157";"91640";"BRIIS SOUS FORGES"
"158";"92320";"CHATILLON"
"159";"78570";"ANDRESY"
"160";"78310";"MAUREPAS"
"161";"02300";"CHAUNY"
"162";"92300";"LEVALLOIS PERRET"
"163";"92370";"CHAVILLE"
"164";"77300";"FONTAINEBLEAU"
"165";"78260";"ACHERES"
